,district,user_count
555,mayiladuthurai,421
357,jagatsinghpur,423
910,uttar bastar kanker,424
676,pathankot,425
220,dhalai,427
17,alirajpur,429
566,mewat,429
788,sheikhpura,430
459,khunti,432
489,kupwara,434
913,uttarkashi,435
46,ashok nagar,436
715,rajanna sircilla,440
705,purulia,441
29,anakapalli,443
168,chatra,448
550,mansa,449
276,fatehgarh sahib,453
325,hapur,453
742,rudraprayag,454
352,imphal east,458
526,mahasamund,461
694,pulwama,468
648,nuapada,469
431,kargil,472
242,dindori,473
182,chitrakoot,479
904,umaria,480
821,sonapur,481
222,dhamtari,482
932,warangal rural,485
11,aizawl,485
396,jogulamba gadwal,485
152,central delhi,486
480,koriya,487
616,narsimhapur,489
614,narmada,492
278,fazilka,492
106,bemetara,493
68,balod,493
575,morbi,495
941,west garo hills,496
467,koderma,498
135,biswanath,501
503,latehar,502
528,mahendragarh,508
353,imphal west,509
180,chirang,513
462,kishanganj,520
500,lakhisarai,522
266,eluru,524
173,chhatrapati sambhajinagar,524
612,narayanpet,526
389,jhargram,527
376,jangoan,531
293,gariyaband,531
688,porbandar,532
175,chhotaudepur,534
245,dohad,541
540,malkangiri,541
842,sri muktsar sahib,542
527,mahbubnagar,547
628,nirmal,550
531,mahoba,555
140,boudh,555
339,hingoli,561
246,dr. b. r. ambedkar konaseema,561
252,east delhi,569
384,jhabua,572
275,fatehabad,573
701,purbi singhbhum,573
854,surajpur,574
685,pilibhit,575
806,sidhi,575
645,north tripura,577
209,datia,579
45,arwal,582
662,panchkula,582
218,devbhumi dwarka,585
783,shaheed bhagat singh nagar,586
955,y. s. r,588
95,barwani,589
361,jaisalmer,589
96,bastar,589
929,wanaparthy,590
343,hojai,591
290,garhwa,592
665,panipat,593
858,surguja,593
411,kallakurichi,593
810,singrauli,599
851,sundargarh,601
420,kanker,601
405,kaithal,602
727,rampur,604
659,palnadu,604
279,ferozepur,605
776,senapati,608
390,jharsuguda,609
811,sirmaur,609
229,dhemaji,609
138,bongaigaon,614
145,buldana,615
244,doda,616
16,alipurduar,616
308,gondiya,618
530,mahisagar,626
491,kurukshetra,626
833,south goa,637
427,kapurthala,638
543,mancherial,638
836,south tripura,642
787,shamli,643
156,chamoli,643
611,nandyal,644
465,kodagu,646
819,solan,647
322,hanumakonda,652
935,washim,652
488,kullu,656
584,munger,660
720,rajouri,664
44,arvalli,665
590,n. t. r,665
687,pondicherry,667
303,godda,673
393,jind,674
51,ayodhya,675
502,lalitpur,676
743,rupnagar,677
523,mahabubabad,677
885,tirupattur,681
738,rewari,681
686,pithoragarh,681
956,yadadri.,683
940,west delhi,684
41,anuppur,684
937,wayanad,685
799,shrawasti,685
170,chengalpattu,686
404,kaimur (bhabua),689
934,wardha,692
596,nagarkurnool,699
407,kakinada,700
38,annamayya,701
568,moga,701
285,gajapati,705
178,chikkamagaluru,709
380,jashpur,710
844,sri sathya sai,717
439,kasganj,717
666,panna,719
6,ahmadabad,719
751,sahebganj,724
61,baksa,725
958,yamuna nagar,726
765,sangrur,730
813,sirsa,738
74,banda,738
899,udhampur,739
740,rohtak,740
302,goalpara,741
78,bangalore rural,742
19,alluri sitharama raju,743
719,rajnandgaon,746
919,vidisha,753
469,kokrajhar,754
202,damoh,754
331,hasan,756
300,gir somnath,757
599,nainital,758
623,neemuch,758
782,shahdol,767
34,anantnag,769
284,gadchiroli,770
346,hoshangabad,771
692,puducherry,775
862,tapi,778
260,east nimar,780
358,jagitial,788
538,maldah,791
859,suryapet,792
117,bhandara,794
374,jamui,794
85,baramula,795
898,udham singh nagar,795
22,ambala,796
551,marigaon,798
98,bathinda,799
155,chamba,799
159,chamrajanagar,800
20,almora,800
176,chickmagalur,802
208,darrang,803
451,khandwa,805
576,morena,805
385,jhajjar,808
952,west singhbhum,812
28,amroha,813
272,faridabad,815
320,hailakandi,816
809,sindhudurg,819
905,una,820
440,kathua,821
314,guna,826
86,baran,827
802,sibsagar,830
435,karnal,831
722,ramanagar,832
733,ratlam,835
767,sant ravidas nagar,843
269,etah,846
163,chandigarh,856
219,dewas,862
231,dholpur,865
443,kaushambi,867
412,kamareddy,867
457,khordha,872
922,vikarabad,879
48,auraiya,886
866,tenkasi,888
643,north goa,888
479,korba,891
726,ramgarh,893
545,mandla,901
333,hathras,905
499,lakhimpur,906
735,rayagada,908
114,bhadradri kothagudem,909
341,hisar,909
717,rajgarh,909
677,patiala,916
197,dahod,920
591,nabarangapur,924
775,sehore,924
442,katni,925
430,karbi anglong,927
890,tonk,930
522,mahabub nagar,934
147,bundi,934
323,hanumangarh,935
448,khagaria,936
897,udalguri,938
619,navsari,939
670,paschim bardhaman,943
216,deoghar,945
617,narsinghpur,949
884,tirupati,952
710,raigad,952
865,tehri garhwal,954
64,baleshwar,957
57,baghpat,957
313,gumla,960
674,patan,961
920,vijayanagara,963
270,etawah,964
567,mirzapur,970
679,pauri garhwal,974
777,seoni,976
843,sri potti sriramulu nellore,981
822,sonbhadra,982
656,palamu,985
805,siddipet,994
771,sas nagar (mohali),996
304,golaghat,1008
681,perambalur,1009
69,baloda bazar,1023
691,prayagraj,1025
224,dhar,1030
